State,pop_dens,unemploy_rate,avg_rent,apart_size,log_income,avg_wage_hr,log_med_home_price,avg_live_conver,avg_live_groc,avg_live_hous,avg_live_uti,log_avg_live_trans,avg_live_health,tax,highschool,bachelor,min_wage,avg_holdsize,crime,drug_use,white,black,indian,asian,other,log_transi_expen,urban_pop,immigrant_mil,homeless,poverty
Georgia,177,3.4,1440.0,766.0,4.819,31.69,5.57,91.0,99,79,84,1.9754,101,0.075,89.2,34.9,7.25,2.62,38800,3288.68,0.5246,0.3134,0.0039,0.0437,0.1144,8.68,0.741,2663.128,11.0,9.9
Hawaii,222,2.5,1845.0,471.0,4.847,33.78,5.99,179.0,126,310,141,2.1471,118,0.045,93.2,36.1,10.10,2.85,2685,2474.08,0.2251,0.0192,0.0027,0.3727,0.3804,8.81,0.861,3219.815,81.0,6.8
Idaho,20,3.7,1420.0,699.0,4.787,29.41,5.68,106.1,104,114,85,2.0402,101,0.060,91.9,31.8,7.25,2.64,4598,3601.56,0.8335,0.0075,0.0114,0.0132,0.1345,7.59,0.692,1249.035,14.0,7.1
Illinois,231,5.1,1732.0,679.0,4.852,34.20,5.46,90.8,98,78,91,2.0103,95,0.090,90.5,37.8,11.00,2.46,38915,3630.88,0.6333,0.1379,0.0053,0.0582,0.1653,9.52,0.869,2986.65,21.0,8.2
Indiana,184,3.3,1137.0,706.0,4.784,29.25,5.41,91.5,98,77,105,1.9809,99,0.070,90.4,29.5,7.25,2.46,22794,4104.9,0.7851,0.0926,0.0025,0.0254,0.0944,8.72,0.712,1563.778,9.0,8.5
Iowa,55,3.2,995.0,658.0,4.777,28.76,5.36,89.7,97,72,95,2.0026,100,0.069,93.3,31.4,7.25,2.36,8978,2704.82,0.8559,0.0386,0.0034,0.0245,0.0777,8.06,0.632,1523.421,8.0,7.0
Kansas,36,3.8,1112.0,706.0,4.783,29.15,5.45,87.7,97,69,108,1.9460,97,0.087,92,35.6,7.25,2.44,12635,3380.27,0.7792,0.0544,0.0075,0.0293,0.1296,7.88,0.723,1787.227,9.0,7.5
Kentucky,112,4.5,1089.0,698.0,4.771,28.36,5.43,93.8,101,73,103,1.9899,82,0.060,88.9,27.6,7.25,2.43,10153,5323.67,0.8368,0.0788,0.0017,0.0152,0.0676,8.33,0.587,1719.995,12.0,11.9
Louisiana,108,4.5,1069.0,705.0,4.753,27.21,5.40,92.0,95,85,85,1.9877,98,0.101,87.3,27,7.25,2.49,25065,4201,0.5797,0.3105,0.0060,0.0173,0.0865,8.40,0.715,1077.359,8.0,14.1
Maine,43,3.1,1739.0,641.0,4.818,31.63,5.57,111.5,101,119,108,2.0523,96,0.055,94.8,36.2,12.15,2.26,1430,4103.24,0.9134,0.0168,0.0045,0.0111,0.0541,7.92,0.386,1136.716,19.0,6.4
Maryland,618,4.4,1679.0,732.0,4.890,37.30,5.70,119.5,109,152,109,2.0009,96,0.060,91.1,43.4,11.75,2.57,26338,3270.17,0.4960,0.2959,0.0038,0.0645,0.1398,9.37,0.856,4104.35,10.0,6.4
Massachusetts,871,4.5,2589.0,717.0,4.933,41.16,5.88,148.4,105,220,126,2.1055,113,0.063,91.4,47.3,13.50,2.44,21998,4434,0.7073,0.0700,0.0023,0.0708,0.1496,9.49,0.913,5198.28,42.0,6.7
Michigan,175,5.1,1167.0,704.0,4.812,31.21,5.40,92.7,97,81,100,1.9939,94,0.060,92.1,32.4,9.65,2.42,45888,4332.02,0.7478,0.1340,0.0046,0.0328,0.0809,8.76,0.735,1882.409,10.0,8.9
Minnesota,68,4.4,1363.0,703.0,4.852,34.21,5.57,94.1,97,82,92,1.9956,112,0.081,93.9,39.4,10.00,2.43,14984,3147.86,0.7835,0.0680,0.0089,0.0506,0.0890,9.07,0.719,2075.074,16.0,5.6
Mississippi,63,3.8,1025.0,720.0,4.706,24.43,5.41,85.3,97,69,86,1.9474,98,0.071,87.1,25.1,7.25,2.49,5961,4016.3,0.5631,0.3696,0.0045,0.0098,0.0531,7.70,0.463,623.817,4.0,14.3
Missouri,88,3.8,1169.0,694.0,4.794,29.89,5.42,88.4,95,77,98,1.9557,90,0.084,91.9,32.4,10.30,2.4,28419,4280.49,0.7833,0.1113,0.0027,0.0207,0.0819,8.70,0.695,1166.069,12.0,8.4
Montana,7,3.4,1428.0,625.0,4.784,29.27,5.72,103.7,103,111,92,1.9974,96,0.000,94.6,35.2,8.75,2.37,5007,3962.22,0.8568,0.0054,0.0571,0.0083,0.0724,7.64,0.534,519.755,18.0,6.7
